i,t,m,Rural
10420704198,2004-05,North,1
10420704200,2004-05,North,1
10420704203,2004-05,North,1
10420704213,2004-05,North,1
10420704256,2004-05,North,1
10420704275,2004-05,North,1
10420704281,2004-05,North,1
10420704286,2004-05,North,1
10420704289,2004-05,North,1
10420704294,2004-05,North,1
10420704299,2004-05,North,1
10501029011,2004-05,North,1
10501029019,2004-05,North,1
10501029027,2004-05,North,1
10501029050,2004-05,North,1
10501029053,2004-05,North,1
10501029082,2004-05,North,1
10501029084,2004-05,North,1
10501029090,2004-05,North,1
10501029093,2004-05,North,1
10501029100,2004-05,North,1
10501029117,2004-05,North,1
10501029144,2004-05,North,1
10501029164,2004-05,North,1
10501029201,2004-05,North,1
10501029202,2004-05,North,1
10501029219,2004-05,North,1
10501029242,2004-05,North,1
10501029341,2004-05,North,1
10501029342,2004-05,North,1
10501029348,2004-05,North,1
10501043003,2004-05,North,1
10501043018,2004-05,North,1
10501043050,2004-05,North,1
10501043068,2004-05,North,1
10501043075,2004-05,North,1
10501043087,2004-05,North,1
10501043096,2004-05,North,1
10501043097,2004-05,North,1
10501043107,2004-05,North,1
10501043119,2004-05,North,1
10501043120,2004-05,North,1
10501043141,2004-05,North,1
10501043172,2004-05,North,1
10501043205,2004-05,North,1
10501043219,2004-05,North,1
10501043223,2004-05,North,1
10501043244,2004-05,North,1
